"sep=,"
"received_message","pattern_matching","reply_message","multiple_replies","multiple_reply_delay","multiple_reply_delay_max","recipients","contacts","ignored_contacts","reply_delay","reply_delay_max","specific_times","monday","tuesday","wednesday","thursday","friday","saturday","sunday","pause_type","pause_value","disabled"
"/especiais","none","🐊🐊o grupo mais brabo 🐊🐊 \n                 %name%\n\nalgumas das minhas funções:\n?cc           (cc clonado)\n?pg           (plaquinha/nud)\n?gg           (fechar parceria)\n?ff            (número fake)\n?ss           (dar dicas)\n?zz           (ver tetas)\n?sz           (criar número fake)\n?hi            (como criar um bot)\n/donate   (brincadeira do link infinito)","single","","","g","","","","","0","","","","","","","","seconds","0","0"
"?cc","none","http://wa.me/+13649993354\n\nuns cartão foda com ela 🌚\n\n10 mil de limite ++🔥🔥🔥","single","","","g","","","","","0","","","","","","","","seconds","0","0"
"?pg","none","a gostosa vende pack, plaquinha, vídeos gozando e mt mais 😛😛\n\nhttp://wa.me/+13649993354\n\npensa numa Muié peituda 🌚","single","","","g","","","","","0","","","","","","","","seconds","0","0"
"?gg","none","opa, quer fechar parceria? eu estou liberando o bot até o dia 20/02! \nestamos no dia %day_of_month%/%month_name_short%\ncorre aí no pv e utilize o comando *parceria 🌚🔥🔥","all","","","g","","","","","0","","","","","","","","seconds","0","0"
"*parceria","none","olá %name%, se o seu grupo for bastante movimentado e cuidado pelos adms, me chame no link abaixo.\n\nwa.me/15872066911","single","","","c","","","","","0","","","","","","","","seconds","0","0"
"?ff","none","olá, estou fazendo números fakes. \n\nwa.me/15872066911\n\ncorre lá.","single","","","g","","","","","0","","","","","","","","seconds","0","0"
"?ss","none","me chame no link abaixo, e me dê dicas de comandos para adicionar no bot🙂\n\nhttp://wa.me/+5521975173221\n\ntmj🔥👍","single","","","g","","","","","0","","","","","","","","seconds","0","0"
"?zz","none","este comando está sendo realizado.","single","","","g","","","","","0","","","","","","","","seconds","0","0"
"/000","none","ensino a como criar o bot em meu canal! \nhá vários vídeos.\n\nhttps://youtu.be/gvcAifM_p3o\n\nhttps://youtu.be/Ggt9LgaB71o\n\nhttps://youtu.be/vJnhbrY0h0Y\n\nOu chama no meu PV *EXPLICO MELHOR* http://wa.me/+5521975173221","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"/001","none","para criar o bot é bem simples. \nbasta baixar um zap GB, business (de preferência imune a travas)\n\napós baixar, crie um número para este whatsapp, na qual vc irá deixar apenas o bot.\n\nlogo após, configure o app para funcionar apenas nesse WhatsApp.\n\napós, só basta você fazer os comandos do bot! \n\ncomando para gerar link de tudo que tem que baixar.\n\n/apkdobot","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"/apkdobot","none","AUTO RESPONDER(APP DO BOT)\nhttps://seulink.net/El5J3\n\nBUSINESS IMUNE\nhttps://seulink.net/BrQnYg8M\n\ncomo passar pelo encurta\nhttps://youtu.be/GUe_cKlzd2s\n\npara criar número fake, utilize o comando /especiais","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"?sz","none","olá, você deseja ver tutorial no canal ou ver tutorial escrito?\n+lario         (tutorial)\n+otirc         (escrito)","single","","","g","","","","","0","","","","","","","","seconds","0","0"
"+lario","none","link do meu canal ensinando abaixo.\n\nhttps://youtu.be/kzaWUxV1otg\n\nse inscreve aí po, custa nada🙂❤️","single","","","g","","","","","0","","","","","","","","seconds","0","0"
"/otirc","none","para criar um número fake, você precisa baixar o app, cadastrar seu email e usar o código de número de referência ""587"" ao escolher seu número.\n(TEM DE VIR NÚMERO DO CANADÁ!)\n\nlogo após, se o número que você recebeu, já estiver banido, repita o processo até encontrar um que não esteja banido.\n\ncaso queira pular o processo, volte para /especiais e pague para fazer.\n\nutilize o comando \n?00           para receber link do apk","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"?00","none","2NDLINE\nhttps://seulink.net/ypDcS\n\ncomo passar pelo encurta\nhttps://youtu.be/GUe_cKlzd2s","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"oi","similar","iai %name% de boa?","single","","","c","","","","","0","","","","","","","","seconds","0","0"
"slv","similar","iae mlk, de boa? como c tá?\nquer algo? só soltar o /menu\n\nseu nome é %name% certo?","single","","","c","","","","","0","","","","","","","","seconds","0","0"
"boa?","similar","sim mlk, e aí Zé? firmeza?","single","","","c","","","","","0","","","","","","","","seconds","0","0"
"tranquilo man","similar","q bom pivete","single","","","c","","","","","0","","","","","","","","seconds","0","0"
"de boa man, e ai?","similar","aq tá tudo suave tá ligado? mas me diz, qual comando c tem p lançar? pois aq noix já vai direto e reto tlgd?","single","","","c","","","","","0","","","","","","","","seconds","0","0"
"opa","none","iaiii %name% de boa mlk?","single","","","c","","","","","0","","","","","","","","seconds","0","0"
"sim e ai?","none","aq tudo suave kchorro!\nqual comando c tem p noix?","single","","","c","","","","","0","","","","","","","","seconds","0","0"
"?hi","none","olá, escolha a forma de aprender!\n\n/001                             (escrita)\n/000                             (video ou wpp)","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"/donate","none","olá, ao apertar no link abaixo, você estará monetizando o proprietário e ao mesmo tempo se divertindo. \n\neste link é infinito. ficará sempre na mesma coisa!\n\n  👇🏻LINK INFINITO👇🏻\n\nhttps://seulink.net/8BsyDWr\n\n  ☝🏻LINK INFINITO☝🏻\n\nO DINHEIRO SERÁ UTILIZADO PARA FINS QUE MELHORARÃO O BOT E O CANAL.","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"/batery","none","O DONO DO BOT ESTÁ COM \n\n            ∆%battery%%∆ \n    \n            DE BATERIA","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"!gozei","none","░░░░█─────────────█▀─▀── ░░░░▓█───────▄▄▀▀█────── ░░░░▒░█────▄█▒░░▄░█───── ░░░░░░░▀▄─▄▀▒▀▀▀▄▄▀───── ░░░░░░░░░█▒░░░░▄▀─────── ▒▒▒░░░░▄▀▒░░░░▄▀──────── ▓▓▓▓▒░█▒░░░░░█▄───────── █████▀▒░░░░░█░▀▄──────── █████▒▒░░░▒█░░░▀▄─────── ███▓▓▒▒▒▀▀▀█▄░░░░█────── ▓██▓▒▒▒▒▒▒▒▒▒█░░░░█───── ▓▓█▓▒▒▒▒▒▒▓▒▒█░░░░░█──── ░▒▒▀▀▄▄▄▄█▄▄▀░░░░░░░█─","all","","","b","","","","","0","","","","","","","","seconds","0","0"
"/zoeiras","none","!gozei\n!paudoadm\n!loli\n!frô\n!paudobot\n!meupai (foto do meu pai)\n!membrocomum\n/créditos\n!vsf\n!minion\n!eusemadm","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"!paudoadm","none","...........…………………………._¸„„„„_\n…………………….…………...„--~*'¯…….'\\n………….…………………… („-~~--„¸_….,/ì'Ì\n…….…………………….¸„-^""¯ : : : : :¸-¯""¯/'\n……………………¸„„-^""¯ : : : : : : : '\¸„„,-""\n**¯¯¯'^^~-„„„----~^*'""¯ : : : : : : : : : :¸-""\n.:.:.:.:.„-^"" : : : : : : : : : : : : : : : : :„-""\n:.:.:.:.:.:.:.:.:.:.: : : : : : : : : : ¸„-^¯\n.::.:.:.:.:.:.:.:. : : : : : : : ¸„„-^¯\n:.' : : '\ : : : : : : : ;¸„„-~""¯\n:.:.:: :""-„""""***/*'ì¸'¯\n:.': : : : :""-„ : : :""\\n.:.:.: : : : :"" : : : : \,\n:.: : : : : : : : : : : : 'Ì\n: : : : : : :, : : : : : :/\n""-„_::::_„-*__„„~""","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"!loli","none","⠄⠄⢀⡋⣡⣴⣶⣶⡀⠄⠄⠙⢿⣿⣿⣿⣿⣿⣴⣿⣿⣿⢃⣤⣄⣀⣥⣿⣿⠄\n⠄⠄⢸⣇⠻⣿⣿⣿⣧⣀⢀⣠⡌⢻⣿⣿⣿⣿⣿⣿⣿⣿⣿⠿⠿⠿⣿⣿⣿⠄\n⠄⢀⢸⣿⣷⣤⣤⣤⣬⣙⣛⢿⣿⣿⣿⣿⣿⣿⡿⣿⣿⡍⠄⠄⢀⣤⣄⠉⠋⣰\n⠄⣼⣖⣿⣿⣿⣿⣿⣿⣿⣿⣿⢿⣿⣿⣿⣿⣿⢇⣿⣿⡷⠶⠶⢿⣿⣿⠇⢀⣤\n⠘⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣽⣿⣿⣿⡇⣿⣿⣿⣿⣿⣿⣷⣶⣥⣴⣿⡗\n⢀⠈⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡟⠄\n⢸⣿⣦⣌⣛⣻⣿⣿⣧⠙⠛⠛⡭⠅⠒⠦⠭⣭⡻⣿⣿⣿⣿⣿⣿⣿⣿⡿⠃⠄\n⠘⣿⣿⣿⣿⣿⣿⣿⣿⡆⠄⠄⠄⠄⠄⠄⠄⠄⠹⠈⢋⣽⣿⣿⣿⣿⣵⣾⠃⠄\n⠄⠘⣿⣿⣿⣿⣿⣿⣿⣿⠄⣴⣿⣶⣄⠄⣴⣶⠄⢀⣾⣿⣿⣿⣿⣿⣿⠃⠄\n⠄⠄⠈⠻⣿⣿⣿⣿⣿⣿⡄⢻⣿⣿⣿⠄⣿⣿⡀⣾⣿⣿⣿⣿⣛⠛⠁⠄⠄\n⠄⠄⠄⠄⠈⠛⢿⣿⣿⣿⠁⠞⢿⣿⣿⡄⢿⣿⡇⣸⣿⣿⠿⠛⠁<#>⠄⠄⢰⣧⣼⣯⠄⣸⣠⣶⣶⣦⣾⠄⠄⠄⠄⡀⠄⢀⣿⣿⠄⠄⠄⢸⡇⠄⠄ ⠄⠄⠄⣾⣿⠿⠿⠶⠿⢿⣿⣿⣿⣿⣦⣤⣄⢀⡅⢠⣾⣛⡉⠄⠄⠄⠸⢀⣿⠄ ⠄⠄⢀⡋⣡⣴⣶⣶⡀⠄⠄⠙⢿⣿⣿⣿⣿⣿⣴⣿⣿⣿⢃⣤⣄⣀⣥⣿⣿⠄ ⠄⠄⢸⣇⠻⣿⣿⣿⣧⣀⢀⣠⡌⢻⣿⣿⣿⣿⣿⣿⣿⣿⣿⠿⠿⠿⣿⣿⣿⠄ ⠄⢀⢸⣿⣷⣤⣤⣤⣬⣙⣛⢿⣿⣿⣿⣿⣿⣿⡿⣿⣿⡍⠄⠄⢀⣤⣄⠉⠋⣰ ⠄⣼⣖⣿⣿⣿⣿⣿⣿⣿⣿⣿⢿⣿⣿⣿⣿⣿⢇⣿⣿⡷⠶⠶⢿⣿⣿⠇⢀⣤ ⠘⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣽⣿⣿⣿⡇⣿⣿⣿⣿⣿⣿⣷⣶⣥⣴⣿⡗ ⢀⠈⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡟⠄ ⢸⣿⣦⣌⣛⣻⣿⣿⣧⠙⠛⠛⡭⠅⠒⠦⠭⣭⡻⣿⣿⣿⣿⣿⣿⣿⣿⡿⠃⠄ ⠘⣿⣿⣿⣿⣿⣿⣿⣿⡆⠄⠄⠄⠄⠄⠄⠄⠄⠹⠈⢋⣽⣿⣿⣿⣿⣵⣾⠃⠄ ⠄⠘⣿⣿⣿⣿⣿⣿⣿⣿⠄⣴⣿⣶⣄⠄⣴⣶⠄⢀⣾⣿⣿⣿⣿⣿⣿⠃⠄⠄ ⠄⠄⠈⠻⣿⣿⣿⣿⣿⣿⡄⢻⣿⣿⣿⠄⣿⣿⡀⣾⣿⣿⣿⣿⣛⠛⠁⠄⠄⠄ ⠄⠄⠄⠄⠈⠛⢿⣿⣿⣿⠁⠞⢿⣿⣿⡄⢿⣿⡇⣸⣿⣿⠿⠛⠁⠄⠄⠄⠄⠄ ⠄⠄⠄⠄⠄⠄⠄⠉⠻⣿⣿⣾⣦⡙⠻⣷⣾⣿⠃⠿⠋⠁⠄⠄⠄⠄⠄⢀⣠⣴ ⣿⣿⣿⣶⣶⣮⣥⣒⠲⢮⣝⡿⣿⣿⡆⣿⡿⠃⠄⠄⠄⠄⠄⠄⠄⣠⣴⣿⣿","all","","","b","","","","","0","","","","","","","","seconds","0","0"
"!frô","none","------------ 🍂🍂🍂🍂\n______________ 🍂_🍂_ 🍂_🍂\n____________ 🍂__🍂__ 🍂__🍂\n___________ 🍂___🍂__ 🍂___🍂\n__________ 🍂____🍂 __🍂____🍂\n_________ 🍂_____🍂 __🍂 ____🍂\n_________ 🍂_____🍂 __🍂 ____ 🍂\n_________ 🍂_____🍂 __🍂 ____ 🍂\n__________ 🍂____ 🍂__🍂 ___ 🍂\n____________ 🍂___🍂__🍂 __ 🍂\n______________ 🍂🍂🍂🍂🍂\n______🍃🍃_______🌱🌱\n____🍃🍃🍃_______🌱\n___🍃🍃🍃🍃_____🌱\n______🍃🍃🍃_____🌱\n__________🍃_______🌱\n______🍃🍃_🍃____🌱\n____🍃🍃🍃__🍃__🌱\n___🍃🍃🍃_____🍃🌱\n____🍃🍃__________🌱\n____🍃_____________🌱\n____________________🌱\n____________________🌱\n____________________🌱\n________________███__██\n______________███___ ███\n_____________███_____███_██\n____________███______███_███\n___________███______███__███\n_________████_____████__███\n_________████___████___███_██\n_________██████████___███_███\n________███████████_████_███\n________███████████████_███\n________█████████████_█████\n████_███████████████_████\n█████_██████████████_████\n██████_████████████_████\n███████_██████████████\n████████_███████████\n█████████_███████\n██████████\n██████████\n---------------<#>uma frô para todas as meninas do grupo🐵","all","","","b","","","","","0","","","","","","","","seconds","0","0"
"!paudobot","none","⣿⣦⡐⢘⢯⢻⣞⣷⡻⣝⣮⣯⢎⢆⠌⠄⠰⠐⠰⠐⠐⢀\n⣿⣿⣿⣆⢙⡥⡻⣾⣟⣿⣾⣷⡽⣔⠤⠁⠰⠐⠰⠐⣠⣾\n⣿⣿⣿⣿⡆⡎⡮⡺⣻⣗⣿⡾⣟⢮⢕⠐⢈⣀⣤⣾⣿⣿\n⣿⣿⣿⣿⣿⡔⠱⡱⡿⣽⣿⣿⣟⣯⢣⠐⠸⣿⣿⣿⣿⣿\n⣿⣿⣿⣿⣿⣷⢡⣃⡝⣯⣿⣳⣿⣽⣻⡢⠐⢿⣿⣿⣿⣿\n⣿⣿⣿⣿⣿⣿⣇⣾⣏⢾⢽⣿⣯⣷⣟⡮⡅⠸⣿⣿⣿⣿\n⣿⣿⣿⣿⣿⣿⣿⡰⡵⣝⣽⢿⣿⣻⣽⣯⢞⠄⢻⣿⣿⣿\n⣿⣿⣿⣿⣿⣿⣿⡇⡟⡮⣺⣻⣿⣿⣿⣿⢽⢪⠈⣿⣿⣿\n⣿⣿⣿⣿⣿⣿⣿⡇⡩⢪⢞⡽⣾⣿⣿⣿⣿⢵⠁⢸⣿⣿\n⣿⣿⣿⣿⣿⣿⣿⡇⠌⡎⣞⢽⡽⣿⣽⣿⣟⣯⡃⠘⣿⣿\n⣿⣿⣿⣿⣿⣿⣿⡇⢈⢎⢮⢺⡺⣯⣿⢿⣿⣗⡇⠐⣿⣿\n⣿⣿⣿⣿⣿⣿⣿⡇⠈⢮⡪⣳⢽⣽⣿⣿⡿⡷⡕⠐⣿⣿\n⣿⣿⣿⣿⣿⣿⣿⠁⢘⢜⢼⡱⣯⣿⣾⣿⣿⣫⡃⠐⣿⣿\n⣿⣿⣿⣿⣿⣿⠣⠈⠰⡱⡱⣫⢗⡿⣿⣿⣻⢮⠂⢰⣿⣿\n⣿⣿⣿⣿⣿⡇⢀⡱⠰⠚⠸⠚⠮⣿⣿⣻⢕⠕⠐⣿⣿⣿\n⣿⣿⣿⣿⣿⠇⣐⢽⣸⣺⣽⢽⣶⣠⢉⠒⠱⠁⣸⣿⣿⣿\n⣿⣿⣿⣿⣿⠐⠴⣝⣪⢷⣷⣻⢷⣿⣎⠣⠐⢠⣿⣿⣿⣿\n⣿⣿⣿⣿⣿⠐⡝⣾⣾⣿⣿⣿⣿⢷⢯⠐⢀⣾⣿⣿⣿⣿\n⣿⣿⣿⣿⣿⡄⢙⠉⣿⢿⣿⣿⣽⢯⠋⢠⣿⣿⣿⣿⣿⣿\n⣿⣿⣿⣿⣿⣿⣦⣀⢻⢿⢽⢝⠎⠂⣴⣿⣿⣿⣿⣿⣿⣿\n⣀⣁⣁⣤⣴⣿⣿⣿⣿⣿⣿⣿⣿⣿","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"!meupai","none","ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"!membrocomum","none","░░█▀░░░░░░░░░░░▀▀███████░░░░ ░░█▌░░░░░░░░░░░░░░░▀██████░░░ ░█▌░░░░░░░░░░░░░░░░███████▌░░ ░█░░░░░░░░░░░░░░░░░████████░░ ▐▌░░░░░░░░░░░░░░░░░▀██████▌░░ ░▌▄███▌░░░░▀████▄░░░░▀████▌░░ ▐▀▀▄█▄░▌░░░▄██▄▄▄▀░░░░████▄▄░ ▐░▀░░═▐░░░░░░══░░▀░░░░▐▀░▄▀▌▌ ▐░░░░░▌░░░░░░░░░░░░░░░▀░▀░░▌▌ ▐░░░▄▀░░░▀░▌░░░░░░░░░░░░▌█░▌▌ ░▌░░▀▀▄▄▀▀▄▌▌░░░░░░░░░░▐░▀▐▐░ ░▌░░▌░▄▄▄▄░░░▌░░░░░░░░▐░░▀▐░░ ░█░▐▄██████▄░▐░░░░░░░░█▀▄▄▀░░ ░▐░▌▌░░░░░░▀▀▄▐░░░░░░█▌░░░░░░ ░░█░░▄▀▀▀▀▄░▄═╝▄░░░▄▀░▌░░░░░░ ░░░▌▐░░░░░░▌░▀▀░░▄▀░░▐░░░░░░░ ░░░▀▄░░░░░░░░░▄▀▀░░░░█░░░░░░░ ░░░▄█▄▄▄▄▄▄▄▀▀░░░░░░░▌▌░░░░░░ ░░▄▀▌▀▌░░░░░░░░░░░░░▄▀▀▄░░░░░ ▄▀░░▌░▀▄░░░░░░░░░░▄▀░░▌░▀▄░░░ ░░░░▌█▄▄▀▄░░░░░░▄▀░░░░▌░░░▌▄▄ ░░░▄▐██████▄▄░▄▀░░▄▄▄▄▌░░░░▄░ ░░▄▌████████▄▄▄███████▌░░░░░▄ ░▄▀░██████████████████▌▀▄░░░░ ▀░░░█████▀▀░░░▀███████░░░▀▄░░ ░░░░▐█▀░░░▐░░░░░▀████▌░░░░▀▄░ ░░░░░░▌░░░▐░░░░▐░░▀▀█░░░░░░░▀ ░░░░░░▐░░░░▌░░░▐░░░░░▌░░░░░░░ ░╔╗║░╔═╗░═╦═░░░░░╔╗░░╔═╗░╦═╗░ ░║║║░║░║░░║░░░░░░╠╩╗░╠═╣░║░║░ ░║╚╝░╚═╝░░║░░░░░░╚═╝░║░║░╩═\nTEM VAGA PARA ADMINISTRAÇÃO?🐒","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"/créditos","none","────────────────────░███░\n───────────────────░█░░░█░\n──────────────────░█░░░░░█░\n─────────────────░█░░░░░█░\n──────────░░░───░█░░░░░░█░\n─────────░███░──░█░░░░░█░\n───────░██░░░██░█░░░░░█░\n──────░█░░█░░░░██░░░░░█░\n────░██░░█░░░░░░█░░░░█░\n───░█░░░█░░░░░░░██░░░█░\n──░█░░░░█░░░░░░░░█░░░█░\n──░█░░░░░█░░░░░░░░█░░░█░\n──░█░░█░░░█░░░░░░░░█░░█░\n─░█░░░█░░░░██░░░░░░█░░█░\n─░█░░░░█░░░░░██░░░█░░░█░\n─░█░█░░░█░░░░░░███░░░░█░\n░█░░░█░░░██░░░░░█░░░░░█░\n░█░░░░█░░░░█████░░░░░█░\n░█░░░░░█░░░░░░░█░░░░░█░\n░█░█░░░░██░░░░█░░░░░█░\n─░█░█░░░░░████░░░░██░\n─░█░░█░░░░░░░█░░██░█░\n──░█░░██░░░██░░█░░░█░\n───░██░░███░░██░█░░█░\n────░██░░░███░░░█░░░█░\n──────░███░░░░░░█░░░█░\n──────░█░░░░░░░░█░░░█░\n──────░█░░░░░░░░░░░░█░\n──────░█░░░░░░░░░░░░░█░\n──────░█░░░░░░░░░░░░░█░\n████──░█░████░░░░░░░░█░\n█──█──████──████░░░░░█░\n█──█──█──█──█──████████\n█──█──████──█──█──────█\n█──█──█──█────██──██──█\n█──████──█──█──█──────█\n█─────█──█──█──█──█████\n███████──████──█─RAFA─█\n──────████──██████████\n\nJÁ SE INSCREVE NO MEU CANAL🐒\nhttps://youtube.com/channel/UCjwPcHq2_HViJVLsyn5t1Bg","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"!vsf","none","__________###_________\n_________#___#________\n_________#___#________\n_________#===#________\n_________#___#________\n_________#___#________\n_________#___#________\n_________#___#________\n_________#___#________\n_________#___#________\n_________#___#________\n______####___####_____\n_____#___#___#___####_\n_____#___#___#___#___#\n###__#___#___#___#___#\n#__#_#___#___#___#___#\n#___##___#___#___#___#\n_#___#___#___#___#___#\n__#__________________#\n___#________________#_\n____#______________#__","single","","","b","","","","","0","","","","","","","","seconds","0","0"
